"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\messages.html", "HTML", 0, 0, 0, 0, 64, 0, 0, 14, 78
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\orders.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 14, 81
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\privacy.html", "HTML", 0, 0, 0, 0, 112, 0, 0, 24, 136
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\product-details.html", "HTML", 0, 0, 0, 0, 673, 0, 7, 116, 796
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\products.html", "HTML", 0, 0, 0, 0, 155, 0, 0, 32, 187
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\profile.html", "HTML", 0, 0, 0, 0, 701, 0, 0, 59, 760
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\reset-password.html", "HTML", 0, 0, 0, 0, 87, 0, 0, 12, 99
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\return-refund.html", "HTML", 0, 0, 0, 0, 116, 0, 0, 18, 134
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\signup.html", "HTML", 0, 0, 0, 0, 90, 0, 0, 22, 112
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\terms.html", "HTML", 0, 0, 0, 0, 118, 0, 0, 25, 143
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\users.html", "HTML", 0, 0, 0, 0, 64, 0, 0, 14, 78
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\frontend\verify-email.html", "HTML", 0, 0, 0, 0, 80, 0, 0, 4, 84
"c:\Users\Lenovo\Desktop\PaithaniSareeWebsite\test-crud.js", "JavaScript", 136, 0, 0, 0, 0, 0, 12, 25, 173
"Total", "-", 7575, 975, 1647, 19, 4618, 3657, 137, 2242, 20870
